Universidad;Ámbito de estudio ISCED 1999;Total
Alfonso X El Sabio;380 - Derecho;193
Alfonso X El Sabio;Total Ciencias;194
Alfonso X El Sabio;421 - Biología y Bioquímica;..
Alfonso X El Sabio;422 - Ciencias del medio ambiente;38
Alfonso X El Sabio;442 - Química;..
Alfonso X El Sabio;443 - Geología y meteorología;..
Alfonso X El Sabio;462 - Estadística;..
Alfonso X El Sabio;480 - Informática;6
Alfonso X El Sabio;481 - Ciencias de la computación;150
Alfonso X El Sabio;Total Ingeniería, industria y construcción;2.985
Alfonso X El Sabio;520 - Ingeniería y profesiones afines;525
Alfonso X El Sabio;521 - Mecánica y metalurgia;..
Alfonso X El Sabio;522 - Electricidad y energía;..
Alfonso X El Sabio;523 - Electrónica y automática;194
Alfonso X El Sabio;524 - Procesos químicos;6
Alfonso X El Sabio;541 - Industria de la alimentación;..
Alfonso X El Sabio;581 - Arquitectura y urbanismo;1.204
Alfonso X El Sabio;582 - Construcción e ingeniería civil;1.056
Alfonso X El Sabio;Total Agricultura y veterinaria;740
Alfonso X El Sabio;621 - Producción agrícola y explotación ganadera;..
Alfonso X El Sabio;623 - Silvicultura;..
Alfonso X El Sabio;641 - Veterinaria;740
Alfonso X El Sabio;Total Salud y servicios sociales;4.891
Alfonso X El Sabio;721 - Medicina;..
Alfonso X El Sabio;723 - Enfermería y atención a enfermos;628
Alfonso X El Sabio;724 - Estudios dentales;2.015
Alfonso X El Sabio;725 - Tecnología de diagnóstico y tratamiento médico;..
Alfonso X El Sabio;726 - Terapia y rehabilitación;674
Alfonso X El Sabio;727 - Farmacia;834
Alfonso X El Sabio;762 - Trabajo social y orientación;..
Alfonso X El Sabio;Total Servicios;200
Alfonso X El Sabio;812 - Viajes, turismo y ocio;26
Alfonso X El Sabio;813 - Deportes;174
Antonio de Nebrija;Total Ámbito;1.132
Antonio de Nebrija;Total Educación;..
Antonio de Nebrija;142 - Ciencias de la educación;..
Antonio de Nebrija;143 - Formación de docentes de enseñanza infantil;..
Antonio de Nebrija;144 - Formación de docentes de enseñanza primaria;..
Antonio de Nebrija;145 - Formación de docentes de enseñanza de temas especiales;..
Antonio de Nebrija;146 - Formación de docentes de formación profesional;..
Antonio de Nebrija;Total Artes y humanidades;208
Antonio de Nebrija;211 - Bellas artes;..
Antonio de Nebrija;212 - Música y artes del espectáculo;19
Antonio de Nebrija;213 - Técnicas audiovisuales y medios de comunicación;103
Antonio de Nebrija;214 - Diseño;..
Antonio de Nebrija;220 - Humanidades;6
Antonio de Nebrija;222 - Lenguas extranjeras;80
Antonio de Nebrija;223 - Lenguas y dialectos españoles;..
Antonio de Nebrija;225 - Historia y arqueología;..
Antonio de Nebrija;226 - Filosofia y ética;..
Antonio de Nebrija;Total Ciencias sociales, educación comercial y derecho;472
Antonio de Nebrija;311 - Psicología;..
Antonio de Nebrija;312 - Sociología, antropología y geografía social y cultural;..
Antonio de Nebrija;313 - Ciencias políticas;..
Antonio de Nebrija;314 - Economía;..
Antonio de Nebrija;321 - Periodismo;83
Antonio de Nebrija;322 - Biblioteconomía, documentación y archivos;..
Antonio de Nebrija;342 - Marketing y publicidad;181
Antonio de Nebrija;343 - Finanzas, banca y seguros;..
Antonio de Nebrija;345 - Administración y gestión de empresas;143
Antonio de Nebrija;380 - Derecho;65
Antonio de Nebrija;Total Ciencias;58
Antonio de Nebrija;421 - Biología y Bioquímica;..
Antonio de Nebrija;422 - Ciencias del medio ambiente;..
Antonio de Nebrija;442 - Química;..
Antonio de Nebrija;443 - Geología y meteorología;..
Antonio de Nebrija;462 - Estadística;..
Antonio de Nebrija;480 - Informática;..
Antonio de Nebrija;481 - Ciencias de la computación;58
Antonio de Nebrija;Total Ingeniería, industria y construcción;255
Antonio de Nebrija;520 - Ingeniería y profesiones afines;221
Antonio de Nebrija;521 - Mecánica y metalurgia;..
Antonio de Nebrija;522 - Electricidad y energía;..
Antonio de Nebrija;523 - Electrónica y automática;34
Antonio de Nebrija;524 - Procesos químicos;..
Antonio de Nebrija;541 - Industria de la alimentación;..
Antonio de Nebrija;581 - Arquitectura y urbanismo;..
Antonio de Nebrija;582 - Construcción e ingeniería civil;..
Antonio de Nebrija;Total Agricultura y veterinaria;..
Antonio de Nebrija;621 - Producción agrícola y explotación ganadera;..
Antonio de Nebrija;623 - Silvicultura;..
Antonio de Nebrija;641 - Veterinaria;..
Antonio de Nebrija;Total Salud y servicios sociales;..
Antonio de Nebrija;721 - Medicina;..
Antonio de Nebrija;723 - Enfermería y atención a enfermos;..
Antonio de Nebrija;724 - Estudios dentales;..
Antonio de Nebrija;725 - Tecnología de diagnóstico y tratamiento médico;..
Antonio de Nebrija;726 - Terapia y rehabilitación;..
Antonio de Nebrija;727 - Farmacia;..
Antonio de Nebrija;762 - Trabajo social y orientación;..
Antonio de Nebrija;Total Servicios;139
Antonio de Nebrija;812 - Viajes, turismo y ocio;139
Antonio de Nebrija;813 - Deportes;..
Camilo José Cela;Total Ámbito;2.509
Camilo José Cela;Total Educación;1.008
Camilo José Cela;142 - Ciencias de la educación;80
Camilo José Cela;143 - Formación de docentes de enseñanza infantil;337
Camilo José Cela;144 - Formación de docentes de enseñanza primaria;23
Camilo José Cela;145 - Formación de docentes de enseñanza de temas especiales;286
Camilo José Cela;146 - Formación de docentes de formación profesional;282
Camilo José Cela;Total Artes y humanidades;129
Camilo José Cela;211 - Bellas artes;..
Camilo José Cela;212 - Música y artes del espectáculo;..
Camilo José Cela;213 - Técnicas audiovisuales y medios de comunicación;75
Camilo José Cela;214 - Diseño;54
Camilo José Cela;220 - Humanidades;..
Camilo José Cela;222 - Lenguas extranjeras;..
Camilo José Cela;223 - Lenguas y dialectos españoles;..
Camilo José Cela;225 - Historia y arqueología;..
Camilo José Cela;226 - Filosofia y ética;..
Camilo José Cela;Total Ciencias sociales, educación comercial y derecho;473
Camilo José Cela;311 - Psicología;150
Camilo José Cela;312 - Sociología, antropología y geografía social y cultural;133
Camilo José Cela;313 - Ciencias políticas;..
Camilo José Cela;314 - Economía;..
Camilo José Cela;321 - Periodismo;71
Camilo José Cela;322 - Biblioteconomía, documentación y archivos;..
Camilo José Cela;342 - Marketing y publicidad;77
Camilo José Cela;343 - Finanzas, banca y seguros;..
Camilo José Cela;345 - Administración y gestión de empresas;8
Camilo José Cela;380 - Derecho;34
Camilo José Cela;Total Ciencias;12
Camilo José Cela;421 - Biología y Bioquímica;..
Camilo José Cela;422 - Ciencias del medio ambiente;..
Camilo José Cela;442 - Química;..
Camilo José Cela;443 - Geología y meteorología;..
Camilo José Cela;462 - Estadística;..
Camilo José Cela;480 - Informática;..
Camilo José Cela;481 - Ciencias de la computación;12
Camilo José Cela;Total Ingeniería, industria y construcción;696
Camilo José Cela;520 - Ingeniería y profesiones afines;..
Camilo José Cela;521 - Mecánica y metalurgia;..
Camilo José Cela;522 - Electricidad y energía;..
Camilo José Cela;523 - Electrónica y automática;..
Camilo José Cela;524 - Procesos químicos;..
Camilo José Cela;541 - Industria de la alimentación;..
Camilo José Cela;581 - Arquitectura y urbanismo;696
Camilo José Cela;582 - Construcción e ingeniería civil;..
Camilo José Cela;Total Agricultura y veterinaria;..
Camilo José Cela;621 - Producción agrícola y explotación ganadera;..
Camilo José Cela;623 - Silvicultura;..
Camilo José Cela;641 - Veterinaria;..
Camilo José Cela;Total Salud y servicios sociales;..
Camilo José Cela;721 - Medicina;..
Camilo José Cela;723 - Enfermería y atención a enfermos;..
Camilo José Cela;724 - Estudios dentales;..
Camilo José Cela;725 - Tecnología de diagnóstico y tratamiento médico;..
Camilo José Cela;726 - Terapia y rehabilitación;..
Camilo José Cela;727 - Farmacia;..
Camilo José Cela;762 - Trabajo social y orientación;..
Camilo José Cela;Total Servicios;191
Camilo José Cela;812 - Viajes, turismo y ocio;29
Camilo José Cela;813 - Deportes;162
Cardenal Herrera-CEU;Total Ámbito;5.919
Cardenal Herrera-CEU;Total Educación;..
Cardenal Herrera-CEU;142 - Ciencias de la educación;..
Cardenal Herrera-CEU;143 - Formación de docentes de enseñanza infantil;..
Cardenal Herrera-CEU;144 - Formación de docentes de enseñanza primaria;..
Cardenal Herrera-CEU;145 - Formación de docentes de enseñanza de temas especiales;..
Cardenal Herrera-CEU;146 - Formación de docentes de formación profesional;..
Cardenal Herrera-CEU;Total Artes y humanidades;424
Cardenal Herrera-CEU;211 - Bellas artes;..
Cardenal Herrera-CEU;212 - Música y artes del espectáculo;..
Cardenal Herrera-CEU;213 - Técnicas audiovisuales y medios de comunicación;424
Cardenal Herrera-CEU;214 - Diseño;..
Cardenal Herrera-CEU;220 - Humanidades;..
Cardenal Herrera-CEU;222 - Lenguas extranjeras;..
Cardenal Herrera-CEU;223 - Lenguas y dialectos españoles;..
Cardenal Herrera-CEU;225 - Historia y arqueología;..
Cardenal Herrera-CEU;226 - Filosofia y ética;..
Cardenal Herrera-CEU;Total Ciencias sociales, educación comercial y derecho;1.832
Cardenal Herrera-CEU;311 - Psicología;..
Cardenal Herrera-CEU;312 - Sociología, antropología y geografía social y cultural;..
Cardenal Herrera-CEU;313 - Ciencias políticas;59
Cardenal Herrera-CEU;314 - Economía;..
Cardenal Herrera-CEU;321 - Periodismo;554
Cardenal Herrera-CEU;322 - Biblioteconomía, documentación y archivos;..
Cardenal Herrera-CEU;342 - Marketing y publicidad;515
Cardenal Herrera-CEU;343 - Finanzas, banca y seguros;..
Cardenal Herrera-CEU;345 - Administración y gestión de empresas;314
Cardenal Herrera-CEU;380 - Derecho;390
Cardenal Herrera-CEU;Total Ciencias;72
Cardenal Herrera-CEU;421 - Biología y Bioquímica;..
Cardenal Herrera-CEU;422 - Ciencias del medio ambiente;..
Cardenal Herrera-CEU;442 - Química;..
Cardenal Herrera-CEU;443 - Geología y meteorología;..
Cardenal Herrera-CEU;462 - Estadística;..
Cardenal Herrera-CEU;480 - Informática;..
Cardenal Herrera-CEU;481 - Ciencias de la computación;72
Cardenal Herrera-CEU;Total Ingeniería, industria y construcción;729
Cardenal Herrera-CEU;520 - Ingeniería y profesiones afines;163
Cardenal Herrera-CEU;521 - Mecánica y metalurgia;..
Cardenal Herrera-CEU;522 - Electricidad y energía;..
Cardenal Herrera-CEU;523 - Electrónica y automática;..
Cardenal Herrera-CEU;524 - Procesos químicos;..
Cardenal Herrera-CEU;541 - Industria de la alimentación;..
Cardenal Herrera-CEU;581 - Arquitectura y urbanismo;566
Cardenal Herrera-CEU;582 - Construcción e ingeniería civil;..
Cardenal Herrera-CEU;Total Agricultura y veterinaria;756
Cardenal Herrera-CEU;621 - Producción agrícola y explotación ganadera;..
Cardenal Herrera-CEU;623 - Silvicultura;..
Cardenal Herrera-CEU;641 - Veterinaria;756
Cardenal Herrera-CEU;Total Salud y servicios sociales;2.862
Cardenal Herrera-CEU;721 - Medicina;..
Cardenal Herrera-CEU;723 - Enfermería y atención a enfermos;816
Cardenal Herrera-CEU;724 - Estudios dentales;405
Cardenal Herrera-CEU;725 - Tecnología de diagnóstico y tratamiento médico;..
Cardenal Herrera-CEU;726 - Terapia y rehabilitación;547
Cardenal Herrera-CEU;727 - Farmacia;338
Cardenal Herrera-CEU;762 - Trabajo social y orientación;..
Cardenal Herrera-CEU;Total Servicios;..
Cardenal Herrera-CEU;812 - Viajes, turismo y ocio;..
Cardenal Herrera-CEU;813 - Deportes;..
Católica de Valencia San Vicente Mártir;Total Ámbito;6.851
Católica de Valencia San Vicente Mártir;Total Educación;3.348
Católica de Valencia San Vicente Mártir;142 - Ciencias de la educación;180
Católica de Valencia San Vicente Mártir;143 - Formación de docentes de enseñanza infantil;1.051
Católica de Valencia San Vicente Mártir;144 - Formación de docentes de enseñanza primaria;1.056
Católica de Valencia San Vicente Mártir;145 - Formación de docentes de enseñanza de temas especiales;410
Católica de Valencia San Vicente Mártir;146 - Formación de docentes de formación profesional;651
Católica de Valencia San Vicente Mártir;Total Artes y humanidades;33
Católica de Valencia San Vicente Mártir;211 - Bellas artes;..
Católica de Valencia San Vicente Mártir;212 - Música y artes del espectáculo;33
Católica de Valencia San Vicente Mártir;213 - Técnicas audiovisuales y medios de comunicación;..
Católica de Valencia San Vicente Mártir;214 - Diseño;..
Católica de Valencia San Vicente Mártir;220 - Humanidades;..
Católica de Valencia San Vicente Mártir;222 - Lenguas extranjeras;..
