Nivel y Ciclo;Nacionalidad (regiones);Tipo de universidad;Tipo de centro;Sexo;Total
Total Grado y 1º y 2º Ciclo;América del Sur;Total Universidades;Centros propios;Hombres;4.351
Total Grado y 1º y 2º Ciclo;América del Sur;Total Universidades;Centros adscritos;Ambos Sexos;408
Total Grado y 1º y 2º Ciclo;América del Sur;Total Universidades;Centros adscritos;Mujeres;298
Total Grado y 1º y 2º Ciclo;América del Sur;Total Universidades;Centros adscritos;Hombres;110
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades públicas;Total Centros;Ambos Sexos;10.462
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades públicas;Total Centros;Mujeres;6.328
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades públicas;Total Centros;Hombres;4.134
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades públicas;Centros propios;Ambos Sexos;10.054
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades públicas;Centros propios;Mujeres;6.030
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades públicas;Centros propios;Hombres;4.024
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades públicas;Centros adscritos;Ambos Sexos;408
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades públicas;Centros adscritos;Mujeres;298
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades públicas;Centros adscritos;Hombres;110
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades privadas;Total Centros;Ambos Sexos;789
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades privadas;Total Centros;Mujeres;462
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades privadas;Total Centros;Hombres;327
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades privadas;Centros propios;Ambos Sexos;789
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades privadas;Centros propios;Mujeres;462
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades privadas;Centros propios;Hombres;327
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades privadas;Centros adscritos;Ambos Sexos;.
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades privadas;Centros adscritos;Mujeres;.
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades privadas;Centros adscritos;Hombres;.
Total Grado y 1º y 2º Ciclo;Norte de África;Total Universidades;Total Centros;Ambos Sexos;4.521
Total Grado y 1º y 2º Ciclo;Norte de África;Total Universidades;Total Centros;Mujeres;2.181
Total Grado y 1º y 2º Ciclo;Norte de África;Total Universidades;Total Centros;Hombres;2.340
Total Grado y 1º y 2º Ciclo;Norte de África;Total Universidades;Centros propios;Ambos Sexos;4.471
Total Grado y 1º y 2º Ciclo;Norte de África;Total Universidades;Centros propios;Mujeres;2.153
Total Grado y 1º y 2º Ciclo;Norte de África;Total Universidades;Centros propios;Hombres;2.318
Total Grado y 1º y 2º Ciclo;Norte de África;Total Universidades;Centros adscritos;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;Norte de África;Total Universidades;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;Norte de África;Total Universidades;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades públicas;Total Centros;Ambos Sexos;4.446
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades públicas;Total Centros;Mujeres;2.142
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades públicas;Total Centros;Hombres;2.304
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades públicas;Centros propios;Ambos Sexos;4.396
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades públicas;Centros propios;Mujeres;2.114
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades públicas;Centros propios;Hombres;2.282
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades públicas;Centros adscritos;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades públicas;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades públicas;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades privadas;Total Centros;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades privadas;Total Centros;Mujeres;..
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades privadas;Total Centros;Hombres;..
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades privadas;Centros propios;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades privadas;Centros propios;Mujeres;..
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades privadas;Centros propios;Hombres;..
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades privadas;Centros adscritos;Ambos Sexos;.
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades privadas;Centros adscritos;Mujeres;.
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades privadas;Centros adscritos;Hombres;.
Total Grado y 1º y 2º Ciclo;Resto de África;Total Universidades;Total Centros;Ambos Sexos;1.070
Total Grado y 1º y 2º Ciclo;Resto de África;Total Universidades;Total Centros;Mujeres;497
Total Grado y 1º y 2º Ciclo;Resto de África;Total Universidades;Total Centros;Hombres;573
Total Grado y 1º y 2º Ciclo;Resto de África;Total Universidades;Centros propios;Ambos Sexos;1.038
Total Grado y 1º y 2º Ciclo;Resto de África;Total Universidades;Centros propios;Mujeres;471
Total Grado y 1º y 2º Ciclo;Resto de África;Total Universidades;Centros propios;Hombres;567
