Nivel y Ciclo;Rama de la enseñanza;Tipo de universidad;Tipo de centro;Sexo;Total
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades públicas;Total Centros;Ambos Sexos;160.329
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades públicas;Total Centros;Mujeres;115.656
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades públicas;Total Centros;Hombres;44.673
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades públicas;Centros propios;Ambos Sexos;146.984
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades públicas;Centros propios;Mujeres;106.010
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades públicas;Centros propios;Hombres;40.974
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades públicas;Centros adscritos;Ambos Sexos;13.345
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades públicas;Centros adscritos;Mujeres;9.646
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades públicas;Centros adscritos;Hombres;3.699
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades privadas;Total Centros;Ambos Sexos;36.808
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades privadas;Total Centros;Mujeres;23.444
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades privadas;Total Centros;Hombres;13.364
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades privadas;Centros propios;Ambos Sexos;36.001
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades privadas;Centros propios;Mujeres;22.976
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades privadas;Centros propios;Hombres;13.025
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades privadas;Centros adscritos;Ambos Sexos;807
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades privadas;Centros adscritos;Mujeres;468
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades privadas;Centros adscritos;Hombres;339
Total Grado y 1º y 2º Ciclo;Ciencias;Total Universidades;Total Centros;Ambos Sexos;85.636
Total Grado y 1º y 2º Ciclo;Ciencias;Total Universidades;Total Centros;Mujeres;46.280
Total Grado y 1º y 2º Ciclo;Ciencias;Total Universidades;Total Centros;Hombres;39.356
Total Grado y 1º y 2º Ciclo;Ciencias;Total Universidades;Centros propios;Ambos Sexos;85.636
Total Grado y 1º y 2º Ciclo;Ciencias;Total Universidades;Centros propios;Mujeres;46.280
Total Grado y 1º y 2º Ciclo;Ciencias;Total Universidades;Centros propios;Hombres;39.356
