Comunidades Autónomas;Nacionalidad (regiones);Sexo;Total
Comunitat Valenciana;Unión Europea (27);Mujeres;2.032
Comunitat Valenciana;Unión Europea (27);Hombres;1.430
Comunitat Valenciana;Resto de Europa;Ambos Sexos;685
Comunitat Valenciana;Resto de Europa;Mujeres;439
Comunitat Valenciana;Resto de Europa;Hombres;246
Comunitat Valenciana;EE.UU. y Canadá;Ambos Sexos;..
Comunitat Valenciana;EE.UU. y Canadá;Mujeres;..
Comunitat Valenciana;EE.UU. y Canadá;Hombres;..
Comunitat Valenciana;América Latina y Caribe;Ambos Sexos;1.448
Comunitat Valenciana;América Latina y Caribe;Mujeres;833
Comunitat Valenciana;América Latina y Caribe;Hombres;615
Comunitat Valenciana;Norte de África;Ambos Sexos;596
Comunitat Valenciana;Norte de África;Mujeres;294
Comunitat Valenciana;Norte de África;Hombres;302
Comunitat Valenciana;Resto de África;Ambos Sexos;120
Comunitat Valenciana;Resto de África;Mujeres;..
Comunitat Valenciana;Resto de África;Hombres;..
Comunitat Valenciana;Asia y Oceanía;Ambos Sexos;317
Comunitat Valenciana;Asia y Oceanía;Mujeres;167
Comunitat Valenciana;Asia y Oceanía;Hombres;150
Extremadura;TOTAL;Ambos Sexos;21.739
Extremadura;TOTAL;Mujeres;11.790
Extremadura;TOTAL;Hombres;9.949
Extremadura;España;Ambos Sexos;21.529
Extremadura;España;Mujeres;11.674
Extremadura;España;Hombres;9.855
Extremadura;Unión Europea (27);Ambos Sexos;..
Extremadura;Unión Europea (27);Mujeres;..
Extremadura;Unión Europea (27);Hombres;..
Extremadura;Resto de Europa;Ambos Sexos;..
Extremadura;Resto de Europa;Mujeres;.
Extremadura;Resto de Europa;Hombres;.
Extremadura;EE.UU. y Canadá;Ambos Sexos;.
Extremadura;EE.UU. y Canadá;Mujeres;.
Extremadura;EE.UU. y Canadá;Hombres;.
Extremadura;América Latina y Caribe;Ambos Sexos;..
Extremadura;América Latina y Caribe;Mujeres;..
Extremadura;América Latina y Caribe;Hombres;..
Extremadura;Norte de África;Ambos Sexos;..
Extremadura;Norte de África;Mujeres;..
Extremadura;Norte de África;Hombres;..
Extremadura;Resto de África;Ambos Sexos;.
Extremadura;Resto de África;Mujeres;.
Extremadura;Resto de África;Hombres;.
Extremadura;Asia y Oceanía;Ambos Sexos;.
Extremadura;Asia y Oceanía;Mujeres;.
Extremadura;Asia y Oceanía;Hombres;.
Galicia;TOTAL;Ambos Sexos;61.671
Galicia;TOTAL;Mujeres;34.346
Galicia;TOTAL;Hombres;27.325
Galicia;España;Ambos Sexos;60.841
Galicia;España;Mujeres;33.788
Galicia;España;Hombres;27.053
Galicia;Unión Europea (27);Ambos Sexos;468
Galicia;Unión Europea (27);Mujeres;327
Galicia;Unión Europea (27);Hombres;141
Galicia;Resto de Europa;Ambos Sexos;..
Galicia;Resto de Europa;Mujeres;..
Galicia;Resto de Europa;Hombres;..
Galicia;EE.UU. y Canadá;Ambos Sexos;.
Galicia;EE.UU. y Canadá;Mujeres;.
Galicia;EE.UU. y Canadá;Hombres;.
Galicia;América Latina y Caribe;Ambos Sexos;257
Galicia;América Latina y Caribe;Mujeres;169
Galicia;América Latina y Caribe;Hombres;..
Galicia;Norte de África;Ambos Sexos;..
Galicia;Norte de África;Mujeres;..
Galicia;Norte de África;Hombres;..
Galicia;Resto de África;Ambos Sexos;..
Galicia;Resto de África;Mujeres;..
Galicia;Resto de África;Hombres;.
Galicia;Asia y Oceanía;Ambos Sexos;..
Galicia;Asia y Oceanía;Mujeres;..
Galicia;Asia y Oceanía;Hombres;..
Madrid (Comunidad de);TOTAL;Ambos Sexos;242.362
Madrid (Comunidad de);TOTAL;Mujeres;128.488
Madrid (Comunidad de);TOTAL;Hombres;113.874
Madrid (Comunidad de);España;Ambos Sexos;229.487
Madrid (Comunidad de);España;Mujeres;121.096
Madrid (Comunidad de);España;Hombres;108.391
Madrid (Comunidad de);Unión Europea (27);Ambos Sexos;6.107
Madrid (Comunidad de);Unión Europea (27);Mujeres;3.406
Madrid (Comunidad de);Unión Europea (27);Hombres;2.701
Madrid (Comunidad de);Resto de Europa;Ambos Sexos;595
Madrid (Comunidad de);Resto de Europa;Mujeres;401
Madrid (Comunidad de);Resto de Europa;Hombres;194
Madrid (Comunidad de);EE.UU. y Canadá;Ambos Sexos;120
Madrid (Comunidad de);EE.UU. y Canadá;Mujeres;..
Madrid (Comunidad de);EE.UU. y Canadá;Hombres;..
Madrid (Comunidad de);América Latina y Caribe;Ambos Sexos;3.445
Madrid (Comunidad de);América Latina y Caribe;Mujeres;1.977
Madrid (Comunidad de);América Latina y Caribe;Hombres;1.468
Madrid (Comunidad de);Norte de África;Ambos Sexos;488
Madrid (Comunidad de);Norte de África;Mujeres;267
Madrid (Comunidad de);Norte de África;Hombres;221
Madrid (Comunidad de);Resto de África;Ambos Sexos;277
Madrid (Comunidad de);Resto de África;Mujeres;146
Madrid (Comunidad de);Resto de África;Hombres;131
Madrid (Comunidad de);Asia y Oceanía;Ambos Sexos;1.843
Madrid (Comunidad de);Asia y Oceanía;Mujeres;1.134
Madrid (Comunidad de);Asia y Oceanía;Hombres;709
Murcia (Región de);TOTAL;Ambos Sexos;45.366
Murcia (Región de);TOTAL;Mujeres;24.973
Murcia (Región de);TOTAL;Hombres;20.393
Murcia (Región de);España;Ambos Sexos;44.149
Murcia (Región de);España;Mujeres;24.207
Murcia (Región de);España;Hombres;19.942
Murcia (Región de);Unión Europea (27);Ambos Sexos;354
Murcia (Región de);Unión Europea (27);Mujeres;238
Murcia (Región de);Unión Europea (27);Hombres;116
Murcia (Región de);Resto de Europa;Ambos Sexos;158
Murcia (Región de);Resto de Europa;Mujeres;108
Murcia (Región de);Resto de Europa;Hombres;..
Murcia (Región de);EE.UU. y Canadá;Ambos Sexos;.
Murcia (Región de);EE.UU. y Canadá;Mujeres;.
Murcia (Región de);EE.UU. y Canadá;Hombres;.
Murcia (Región de);América Latina y Caribe;Ambos Sexos;501
Murcia (Región de);América Latina y Caribe;Mujeres;310
Murcia (Región de);América Latina y Caribe;Hombres;191
Murcia (Región de);Norte de África;Ambos Sexos;158
Murcia (Región de);Norte de África;Mujeres;..
Murcia (Región de);Norte de África;Hombres;..
Murcia (Región de);Resto de África;Ambos Sexos;..
Murcia (Región de);Resto de África;Mujeres;.
Murcia (Región de);Resto de África;Hombres;..
Murcia (Región de);Asia y Oceanía;Ambos Sexos;..
Murcia (Región de);Asia y Oceanía;Mujeres;..
Murcia (Región de);Asia y Oceanía;Hombres;..
Navarra (Comunidad Foral de);TOTAL;Ambos Sexos;15.299
Navarra (Comunidad Foral de);TOTAL;Mujeres;8.134
Navarra (Comunidad Foral de);TOTAL;Hombres;7.165
Navarra (Comunidad Foral de);España;Ambos Sexos;14.693
Navarra (Comunidad Foral de);España;Mujeres;7.815
Navarra (Comunidad Foral de);España;Hombres;6.878
