Nivel y Ciclo;Grupo de edad;Tipo de universidad;Tipo de centro;Sexo;Total
Matrícula de Grado;De 18 a 21 años;Total Universidades;Centros propios;Ambos Sexos;110.225
Matrícula de Grado;De 18 a 21 años;Total Universidades;Centros propios;Mujeres;65.885
Matrícula de Grado;De 18 a 21 años;Total Universidades;Centros propios;Hombres;44.340
Matrícula de Grado;De 18 a 21 años;Total Universidades;Centros adscritos;Ambos Sexos;6.769
Matrícula de Grado;De 18 a 21 años;Total Universidades;Centros adscritos;Mujeres;3.982
Matrícula de Grado;De 18 a 21 años;Total Universidades;Centros adscritos;Hombres;2.787
Matrícula de Grado;De 18 a 21 años;Universidades públicas;Total Centros;Ambos Sexos;97.732
Matrícula de Grado;De 18 a 21 años;Universidades públicas;Total Centros;Mujeres;58.938
Matrícula de Grado;De 18 a 21 años;Universidades públicas;Total Centros;Hombres;38.794
Matrícula de Grado;De 18 a 21 años;Universidades públicas;Centros propios;Ambos Sexos;91.264
Matrícula de Grado;De 18 a 21 años;Universidades públicas;Centros propios;Mujeres;55.119
Matrícula de Grado;De 18 a 21 años;Universidades públicas;Centros propios;Hombres;36.145
Matrícula de Grado;De 18 a 21 años;Universidades públicas;Centros adscritos;Ambos Sexos;6.468
Matrícula de Grado;De 18 a 21 años;Universidades públicas;Centros adscritos;Mujeres;3.819
Matrícula de Grado;De 18 a 21 años;Universidades públicas;Centros adscritos;Hombres;2.649
Matrícula de Grado;De 18 a 21 años;Universidades privadas;Total Centros;Ambos Sexos;19.262
Matrícula de Grado;De 18 a 21 años;Universidades privadas;Total Centros;Mujeres;10.929
Matrícula de Grado;De 18 a 21 años;Universidades privadas;Total Centros;Hombres;8.333
Matrícula de Grado;De 18 a 21 años;Universidades privadas;Centros propios;Ambos Sexos;18.961
Matrícula de Grado;De 18 a 21 años;Universidades privadas;Centros propios;Mujeres;10.766
Matrícula de Grado;De 18 a 21 años;Universidades privadas;Centros propios;Hombres;8.195
Matrícula de Grado;De 18 a 21 años;Universidades privadas;Centros adscritos;Ambos Sexos;301
Matrícula de Grado;De 18 a 21 años;Universidades privadas;Centros adscritos;Mujeres;163
Matrícula de Grado;De 18 a 21 años;Universidades privadas;Centros adscritos;Hombres;138
Matrícula de Grado;De 21 a 25 años;Total Universidades;Total Centros;Ambos Sexos;25.630
Matrícula de Grado;De 21 a 25 años;Total Universidades;Total Centros;Mujeres;13.948
Matrícula de Grado;De 21 a 25 años;Total Universidades;Total Centros;Hombres;11.682
Matrícula de Grado;De 21 a 25 años;Total Universidades;Centros propios;Ambos Sexos;23.875
Matrícula de Grado;De 21 a 25 años;Total Universidades;Centros propios;Mujeres;12.986
Matrícula de Grado;De 21 a 25 años;Total Universidades;Centros propios;Hombres;10.889
Matrícula de Grado;De 21 a 25 años;Total Universidades;Centros adscritos;Ambos Sexos;1.755
Matrícula de Grado;De 21 a 25 años;Total Universidades;Centros adscritos;Mujeres;962
Matrícula de Grado;De 21 a 25 años;Total Universidades;Centros adscritos;Hombres;793
Matrícula de Grado;De 21 a 25 años;Universidades públicas;Total Centros;Ambos Sexos;20.429
Matrícula de Grado;De 21 a 25 años;Universidades públicas;Total Centros;Mujeres;11.132
Matrícula de Grado;De 21 a 25 años;Universidades públicas;Total Centros;Hombres;9.297
Matrícula de Grado;De 21 a 25 años;Universidades públicas;Centros propios;Ambos Sexos;18.717
Matrícula de Grado;De 21 a 25 años;Universidades públicas;Centros propios;Mujeres;10.185
Matrícula de Grado;De 21 a 25 años;Universidades públicas;Centros propios;Hombres;8.532
Matrícula de Grado;De 21 a 25 años;Universidades públicas;Centros adscritos;Ambos Sexos;1.712
Matrícula de Grado;De 21 a 25 años;Universidades públicas;Centros adscritos;Mujeres;947
Matrícula de Grado;De 21 a 25 años;Universidades públicas;Centros adscritos;Hombres;765
Matrícula de Grado;De 21 a 25 años;Universidades privadas;Total Centros;Ambos Sexos;5.201
Matrícula de Grado;De 21 a 25 años;Universidades privadas;Total Centros;Mujeres;2.816
Matrícula de Grado;De 21 a 25 años;Universidades privadas;Total Centros;Hombres;2.385
Matrícula de Grado;De 21 a 25 años;Universidades privadas;Centros propios;Ambos Sexos;5.158
Matrícula de Grado;De 21 a 25 años;Universidades privadas;Centros propios;Mujeres;2.801
Matrícula de Grado;De 21 a 25 años;Universidades privadas;Centros propios;Hombres;2.357
Matrícula de Grado;De 21 a 25 años;Universidades privadas;Centros adscritos;Ambos Sexos;..
Matrícula de Grado;De 21 a 25 años;Universidades privadas;Centros adscritos;Mujeres;..
Matrícula de Grado;De 21 a 25 años;Universidades privadas;Centros adscritos;Hombres;..
Matrícula de Grado;De 26 a 30 años;Total Universidades;Total Centros;Ambos Sexos;17.472
Matrícula de Grado;De 26 a 30 años;Total Universidades;Total Centros;Mujeres;9.469
Matrícula de Grado;De 26 a 30 años;Total Universidades;Total Centros;Hombres;8.003
Matrícula de Grado;De 26 a 30 años;Total Universidades;Centros propios;Ambos Sexos;16.774
Matrícula de Grado;De 26 a 30 años;Total Universidades;Centros propios;Mujeres;9.062
Matrícula de Grado;De 26 a 30 años;Total Universidades;Centros propios;Hombres;7.712
Matrícula de Grado;De 26 a 30 años;Total Universidades;Centros adscritos;Ambos Sexos;698
Matrícula de Grado;De 26 a 30 años;Total Universidades;Centros adscritos;Mujeres;407
Matrícula de Grado;De 26 a 30 años;Total Universidades;Centros adscritos;Hombres;291
Matrícula de Grado;De 26 a 30 años;Universidades públicas;Total Centros;Ambos Sexos;12.898
Matrícula de Grado;De 26 a 30 años;Universidades públicas;Total Centros;Mujeres;6.965
Matrícula de Grado;De 26 a 30 años;Universidades públicas;Total Centros;Hombres;5.933
Matrícula de Grado;De 26 a 30 años;Universidades públicas;Centros propios;Ambos Sexos;12.222
Matrícula de Grado;De 26 a 30 años;Universidades públicas;Centros propios;Mujeres;6.567
Matrícula de Grado;De 26 a 30 años;Universidades públicas;Centros propios;Hombres;5.655
Matrícula de Grado;De 26 a 30 años;Universidades públicas;Centros adscritos;Ambos Sexos;676
Matrícula de Grado;De 26 a 30 años;Universidades públicas;Centros adscritos;Mujeres;398
Matrícula de Grado;De 26 a 30 años;Universidades públicas;Centros adscritos;Hombres;278
Matrícula de Grado;De 26 a 30 años;Universidades privadas;Total Centros;Ambos Sexos;4.574
Matrícula de Grado;De 26 a 30 años;Universidades privadas;Total Centros;Mujeres;2.504
Matrícula de Grado;De 26 a 30 años;Universidades privadas;Total Centros;Hombres;2.070
Matrícula de Grado;De 26 a 30 años;Universidades privadas;Centros propios;Ambos Sexos;4.552
Matrícula de Grado;De 26 a 30 años;Universidades privadas;Centros propios;Mujeres;2.495
Matrícula de Grado;De 26 a 30 años;Universidades privadas;Centros propios;Hombres;2.057
Matrícula de Grado;De 26 a 30 años;Universidades privadas;Centros adscritos;Ambos Sexos;..
Matrícula de Grado;De 26 a 30 años;Universidades privadas;Centros adscritos;Mujeres;.
Matrícula de Grado;De 26 a 30 años;Universidades privadas;Centros adscritos;Hombres;..
Matrícula de Grado;Más de 30 años;Total Universidades;Total Centros;Ambos Sexos;37.598
Matrícula de Grado;Más de 30 años;Total Universidades;Total Centros;Mujeres;18.968
Matrícula de Grado;Más de 30 años;Total Universidades;Total Centros;Hombres;18.630
Matrícula de Grado;Más de 30 años;Total Universidades;Centros propios;Ambos Sexos;36.726
Matrícula de Grado;Más de 30 años;Total Universidades;Centros propios;Mujeres;18.482
Matrícula de Grado;Más de 30 años;Total Universidades;Centros propios;Hombres;18.244
Matrícula de Grado;Más de 30 años;Total Universidades;Centros adscritos;Ambos Sexos;872
Matrícula de Grado;Más de 30 años;Total Universidades;Centros adscritos;Mujeres;486
Matrícula de Grado;Más de 30 años;Total Universidades;Centros adscritos;Hombres;386
Matrícula de Grado;Más de 30 años;Universidades públicas;Total Centros;Ambos Sexos;26.846
Matrícula de Grado;Más de 30 años;Universidades públicas;Total Centros;Mujeres;13.899
Matrícula de Grado;Más de 30 años;Universidades públicas;Total Centros;Hombres;12.947
Matrícula de Grado;Más de 30 años;Universidades públicas;Centros propios;Ambos Sexos;26.010
Matrícula de Grado;Más de 30 años;Universidades públicas;Centros propios;Mujeres;13.419
Matrícula de Grado;Más de 30 años;Universidades públicas;Centros propios;Hombres;12.591
Matrícula de Grado;Más de 30 años;Universidades públicas;Centros adscritos;Ambos Sexos;836
Matrícula de Grado;Más de 30 años;Universidades públicas;Centros adscritos;Mujeres;480
Matrícula de Grado;Más de 30 años;Universidades públicas;Centros adscritos;Hombres;356
Matrícula de Grado;Más de 30 años;Universidades privadas;Total Centros;Ambos Sexos;10.752
Matrícula de Grado;Más de 30 años;Universidades privadas;Total Centros;Mujeres;5.069
Matrícula de Grado;Más de 30 años;Universidades privadas;Total Centros;Hombres;5.683
Matrícula de Grado;Más de 30 años;Universidades privadas;Centros propios;Ambos Sexos;10.716
Matrícula de Grado;Más de 30 años;Universidades privadas;Centros propios;Mujeres;5.063
Matrícula de Grado;Más de 30 años;Universidades privadas;Centros propios;Hombres;5.653
Matrícula de Grado;Más de 30 años;Universidades privadas;Centros adscritos;Ambos Sexos;..
Matrícula de Grado;Más de 30 años;Universidades privadas;Centros adscritos;Mujeres;.
Matrícula de Grado;Más de 30 años;Universidades privadas;Centros adscritos;Hombres;..
Matrícula de 1º y 2º Ciclo;Todas las edades;Total Universidades;Total Centros;Ambos Sexos;1.192.540
Matrícula de 1º y 2º Ciclo;Todas las edades;Total Universidades;Total Centros;Mujeres;642.991
Matrícula de 1º y 2º Ciclo;Todas las edades;Total Universidades;Total Centros;Hombres;549.549
Matrícula de 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros propios;Ambos Sexos;1.142.807
Matrícula de 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros propios;Mujeres;610.642
Matrícula de 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros propios;Hombres;532.165
Matrícula de 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros adscritos;Ambos Sexos;49.733
Matrícula de 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros adscritos;Mujeres;32.349
Matrícula de 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros adscritos;Hombres;17.384
Matrícula de 1º y 2º Ciclo;Todas las edades;Universidades públicas;Total Centros;Ambos Sexos;1.076.230
Matrícula de 1º y 2º Ciclo;Todas las edades;Universidades públicas;Total Centros;Mujeres;580.789
Matrícula de 1º y 2º Ciclo;Todas las edades;Universidades públicas;Total Centros;Hombres;495.441
Matrícula de 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros propios;Ambos Sexos;1.026.497
Matrícula de 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros propios;Mujeres;548.440
Matrícula de 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros propios;Hombres;478.057
