Sexo;Universidad;Ámbito de estudio ISCED 1999;Total
Ambos Sexos;Antonio de Nebrija;225 - Historia y arqueología;..
Ambos Sexos;Antonio de Nebrija;226 - Filosofía y ética;..
Ambos Sexos;Antonio de Nebrija;Total Ciencias sociales, educación comercial y derecho;907
Ambos Sexos;Antonio de Nebrija;311 - Psicología;..
Ambos Sexos;Antonio de Nebrija;312 - Sociología, antropología y geografía social y cultural;..
Ambos Sexos;Antonio de Nebrija;313 - Ciencias políticas;50
Ambos Sexos;Antonio de Nebrija;314 - Economía;..
Ambos Sexos;Antonio de Nebrija;320 - Periodismo e información;..
Ambos Sexos;Antonio de Nebrija;321 - Periodismo;54
Ambos Sexos;Antonio de Nebrija;322 - Biblioteconomía, documentación y archivos;..
Ambos Sexos;Antonio de Nebrija;342 - Marketing y publicidad;74
Ambos Sexos;Antonio de Nebrija;343 - Finanzas, banca y seguros;..
Ambos Sexos;Antonio de Nebrija;345 - Administración y gestión de empresas;155
Ambos Sexos;Antonio de Nebrija;380 - Derecho;574
Ambos Sexos;Antonio de Nebrija;Total Ciencias;20
Ambos Sexos;Antonio de Nebrija;421 - Biología y Bioquímica;..
Ambos Sexos;Antonio de Nebrija;422 - Ciencias del medio ambiente;..
Ambos Sexos;Antonio de Nebrija;442 - Química;..
Ambos Sexos;Antonio de Nebrija;443 - Geología y meteorología;..
Ambos Sexos;Antonio de Nebrija;462 - Estadística;..
Ambos Sexos;Antonio de Nebrija;481 - Ciencias de la computación;20
Ambos Sexos;Antonio de Nebrija;Total Ingeniería, industria y construcción;664
Ambos Sexos;Antonio de Nebrija;520 - Ingeniería y profesiones afines;66
Ambos Sexos;Antonio de Nebrija;521 - Mecánica y metalurgia;309
Ambos Sexos;Antonio de Nebrija;522 - Electricidad y energía;..
Ambos Sexos;Antonio de Nebrija;523 - Electrónica y automática;63
Ambos Sexos;Antonio de Nebrija;524 - Procesos químicos;..
Ambos Sexos;Antonio de Nebrija;525 - Vehículos de motor, barcos y aeronaves;117
Ambos Sexos;Antonio de Nebrija;541 - Industria de la alimentación;..
Ambos Sexos;Antonio de Nebrija;544 - Minería y extracción;..
Ambos Sexos;Antonio de Nebrija;581 - Arquitectura y urbanismo;109
Ambos Sexos;Antonio de Nebrija;582 - Construcción e ingeniería civil;..
Ambos Sexos;Antonio de Nebrija;Total Agricultura y veterinaria;..
Ambos Sexos;Antonio de Nebrija;621 - Producción agrícola y explotación ganadera;..
Ambos Sexos;Antonio de Nebrija;623 - Silvicultura;..
Ambos Sexos;Antonio de Nebrija;641 - Veterinaria;..
Ambos Sexos;Antonio de Nebrija;Total Salud y servicios sociales;770
Ambos Sexos;Antonio de Nebrija;720 - Salud;..
Ambos Sexos;Antonio de Nebrija;721 - Medicina;..
Ambos Sexos;Antonio de Nebrija;723 - Enfermería y atención a enfermos;472
Ambos Sexos;Antonio de Nebrija;724 - Estudios dentales;..
Ambos Sexos;Antonio de Nebrija;725 - Tecnología de diagnóstico y tratamiento médico;..
Ambos Sexos;Antonio de Nebrija;726 - Terapia y rehabilitación;298
Ambos Sexos;Antonio de Nebrija;727 - Farmacia;..
Ambos Sexos;Antonio de Nebrija;762 - Trabajo social y orientación;..
Ambos Sexos;Antonio de Nebrija;Total Servicios;76
Ambos Sexos;Antonio de Nebrija;811 - Hostelería;..
Ambos Sexos;Antonio de Nebrija;812 - Viajes, turismo y ocio;76
Ambos Sexos;Antonio de Nebrija;813 - Deportes;..
Ambos Sexos;Antonio de Nebrija;840 - Servicios de transporte;..
Ambos Sexos;Antonio de Nebrija;851 - Control y tecnología medioambiental;..
Ambos Sexos;Camilo José Cela;Total Ámbito;6.906
Ambos Sexos;Camilo José Cela;Total Educación;3.922
Ambos Sexos;Camilo José Cela;140 - Formación de personal docente y ciencias de la educación;79
Ambos Sexos;Camilo José Cela;142 - Ciencias de la educación;..
Ambos Sexos;Camilo José Cela;143 - Formación de docentes de enseñanza infantil;1.023
Ambos Sexos;Camilo José Cela;144 - Formación de docentes de enseñanza primaria;2.820
Ambos Sexos;Camilo José Cela;145 - Formación de docentes de enseñanza de temas especiales;..
Ambos Sexos;Camilo José Cela;146 - Formación de docentes de formación profesional;..
Ambos Sexos;Camilo José Cela;Total Artes y humanidades;1.235
Ambos Sexos;Camilo José Cela;211 - Bellas artes;..
Ambos Sexos;Camilo José Cela;212 - Música y artes del espectáculo;..
Ambos Sexos;Camilo José Cela;213 - Técnicas audiovisuales y medios de comunicación;952
Ambos Sexos;Camilo José Cela;214 - Diseño;283
Ambos Sexos;Camilo José Cela;220 - Humanidades;..
Ambos Sexos;Camilo José Cela;221 - Religión;..
Ambos Sexos;Camilo José Cela;222 - Lenguas extranjeras;..
Ambos Sexos;Camilo José Cela;223 - Lenguas y dialectos españoles;..
Ambos Sexos;Camilo José Cela;225 - Historia y arqueología;..
Ambos Sexos;Camilo José Cela;226 - Filosofía y ética;..
Ambos Sexos;Camilo José Cela;Total Ciencias sociales, educación comercial y derecho;886
Ambos Sexos;Camilo José Cela;311 - Psicología;232
Ambos Sexos;Camilo José Cela;312 - Sociología, antropología y geografía social y cultural;69
Ambos Sexos;Camilo José Cela;313 - Ciencias políticas;..
Ambos Sexos;Camilo José Cela;314 - Economía;..
Ambos Sexos;Camilo José Cela;320 - Periodismo e información;..
Ambos Sexos;Camilo José Cela;321 - Periodismo;68
Ambos Sexos;Camilo José Cela;322 - Biblioteconomía, documentación y archivos;..
Ambos Sexos;Camilo José Cela;342 - Marketing y publicidad;289
Ambos Sexos;Camilo José Cela;343 - Finanzas, banca y seguros;..
Ambos Sexos;Camilo José Cela;345 - Administración y gestión de empresas;166
Ambos Sexos;Camilo José Cela;380 - Derecho;62
Ambos Sexos;Camilo José Cela;Total Ciencias;56
Ambos Sexos;Camilo José Cela;421 - Biología y Bioquímica;..
Ambos Sexos;Camilo José Cela;422 - Ciencias del medio ambiente;..
Ambos Sexos;Camilo José Cela;442 - Química;..
Ambos Sexos;Camilo José Cela;443 - Geología y meteorología;..
Ambos Sexos;Camilo José Cela;462 - Estadística;..
Ambos Sexos;Camilo José Cela;481 - Ciencias de la computación;56
Ambos Sexos;Camilo José Cela;Total Ingeniería, industria y construcción;249
