Nivel y Ciclo;Grupo de edad;Tipo de universidad;Tipo de centro;Sexo;Total
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Universidades públicas;Centros propios;Hombres;91.511
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Universidades públicas;Centros adscritos;Ambos Sexos;6.951
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Universidades públicas;Centros adscritos;Mujeres;4.265
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Universidades públicas;Centros adscritos;Hombres;2.686
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Universidades privadas;Total Centros;Ambos Sexos;21.079
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Universidades privadas;Total Centros;Mujeres;10.398
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Universidades privadas;Total Centros;Hombres;10.681
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Universidades privadas;Centros propios;Ambos Sexos;21.076
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Universidades privadas;Centros propios;Mujeres;10.396
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Universidades privadas;Centros propios;Hombres;10.680
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Universidades privadas;Centros adscritos;Ambos Sexos;.
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Universidades privadas;Centros adscritos;Mujeres;.
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Universidades privadas;Centros adscritos;Hombres;.
Total Grado y 1º y 2º Ciclo;Más de 30 años;Total Universidades;Total Centros;Ambos Sexos;228.778
Total Grado y 1º y 2º Ciclo;Más de 30 años;Total Universidades;Total Centros;Mujeres;112.435
Total Grado y 1º y 2º Ciclo;Más de 30 años;Total Universidades;Total Centros;Hombres;116.343
Total Grado y 1º y 2º Ciclo;Más de 30 años;Total Universidades;Centros propios;Ambos Sexos;222.987
Total Grado y 1º y 2º Ciclo;Más de 30 años;Total Universidades;Centros propios;Mujeres;108.630
Total Grado y 1º y 2º Ciclo;Más de 30 años;Total Universidades;Centros propios;Hombres;114.357
Total Grado y 1º y 2º Ciclo;Más de 30 años;Total Universidades;Centros adscritos;Ambos Sexos;5.791
Total Grado y 1º y 2º Ciclo;Más de 30 años;Total Universidades;Centros adscritos;Mujeres;3.805
Total Grado y 1º y 2º Ciclo;Más de 30 años;Total Universidades;Centros adscritos;Hombres;1.986
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades públicas;Total Centros;Ambos Sexos;194.432
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades públicas;Total Centros;Mujeres;95.811
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades públicas;Total Centros;Hombres;98.621
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades públicas;Centros propios;Ambos Sexos;188.641
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades públicas;Centros propios;Mujeres;92.006
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades públicas;Centros propios;Hombres;96.635
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades públicas;Centros adscritos;Ambos Sexos;5.791
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades públicas;Centros adscritos;Mujeres;3.805
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades públicas;Centros adscritos;Hombres;1.986
