Universidad;Ámbito de estudio ISCED 1999;Total
Alcalá;724 - Estudios dentales;.
Alcalá;725 - Tecnología de diagnóstico y tratamiento médico;.
Alcalá;726 - Terapia y rehabilitación;301
Alcalá;727 - Farmacia;1.034
Alcalá;762 - Trabajo social y orientación;.
Alcalá;8 - Servicios;744
Alcalá;812 - Viajes, turismo y ocio;248
Alcalá;813 - Deportes;496
Alcalá;840 - Servicios de transporte;.
Alcalá;861 - Protección de la propiedad y las personas;.
Alicante;Total;25.650
Alicante;1 - Educación;3.068
Alicante;142 - Ciencias de la educación;275
Alicante;143 - Formación de docentes de enseñanza infantil;732
Alicante;144 - Formación de docentes de enseñanza primaria;500
Alicante;145 - Formación de docentes de enseñanza de temas especiales;443
Alicante;146 - Formación de docentes de formación profesional;1.118
Alicante;2 - Artes y humanidades;2.741
Alicante;210 - Artes;.
Alicante;211 - Bellas artes;.
Alicante;212 - Música y artes del espectáculo;.
Alicante;213 - Técnicas audiovisuales y medios de comunicación;.
Alicante;214 - Diseño;.
Alicante;220 - Humanidades;140
Alicante;222 - Lenguas extranjeras;1.537
Alicante;223 - Lenguas y dialectos españoles;410
Alicante;224 - Historia, filosofía y temas relacionados;.
Alicante;225 - Historia y arqueología;654
Alicante;226 - Filosofía y ética;.
Alicante;3 - Ciencias sociales, educación comercial y derecho;9.679
Alicante;310 - Ciencias sociales y del comportamiento;.
Alicante;311 - Psicología;.
Alicante;312 - Sociología, antropología y geografía social y cultural;975
Alicante;313 - Ciencias políticas;.
Alicante;314 - Economía;609
Alicante;321 - Periodismo;.
Alicante;322 - Biblioteconomía, documentación y archivos;.
Alicante;342 - Marketing y publicidad;1.049
Alicante;343 - Finanzas, banca y seguros;.
Alicante;345 - Administración y gestión de empresas;4.923
Alicante;347 - Otros estudios referidos al puesto de trabajo;.
Alicante;380 - Derecho;2.123
Alicante;4 - Ciencias;2.792
Alicante;421 - Biología y Bioquímica;739
Alicante;422 - Ciencias del medio ambiente;.
Alicante;441 - Física;.
Alicante;442 - Química;346
Alicante;443 - Geología y meteorología;120
Alicante;461 - Matemáticas;238
Alicante;462 - Estadística;.
Alicante;481 - Ciencias de la computación;1.349
Alicante;482 - Informática en el nivel de usuario;.
Alicante;5 - Ingeniería, industria y construcción;4.208
Alicante;520 - Ingeniería y profesiones afines;.
Alicante;521 - Mecánica y metalurgia;.
Alicante;522 - Electricidad y energía;.
Alicante;523 - Electrónica y automática;367
Alicante;524 - Procesos químicos;260
Alicante;525 - Vehículos de motor, barcos y aeronaves;.
Alicante;541 - Industria de la alimentación;.
Alicante;542 - Industria textil, confección, del calzado y piel;.
Alicante;543 - Industrias de otros materiales (madera, papel, plástico, vidrio);.
Alicante;544 - Minería y extracción;.
Alicante;581 - Arquitectura y urbanismo;2.119
Alicante;582 - Construcción e ingeniería civil;1.462
Alicante;6 - Agricultura y veterinaria;.
Alicante;620 - Agricultura, ganadería y pesca;.
Alicante;621 - Producción agrícola y explotación ganadera;.
Alicante;622 - Horticultura;.
Alicante;623 - Silvicultura;.
Alicante;641 - Veterinaria;.
Alicante;7 - Salud y servicios sociales;2.031
Alicante;721 - Medicina;.
