Universidad;Ámbito de estudio ISCED 1999;Total
Cardenal Herrera-CEU;Total Artes y humanidades;..
Cardenal Herrera-CEU;211 - Bellas artes;.
Cardenal Herrera-CEU;212 - Música y artes del espectáculo;.
Cardenal Herrera-CEU;213 - Técnicas audiovisuales y medios de comunicación;..
Cardenal Herrera-CEU;214 - Diseño;.
Cardenal Herrera-CEU;220 - Humanidades;.
Cardenal Herrera-CEU;222 - Lenguas extranjeras;.
Cardenal Herrera-CEU;223 - Lenguas y dialectos españoles;.
Cardenal Herrera-CEU;225 - Historia y arqueología;.
Cardenal Herrera-CEU;226 - Filosofía y ética;.
Cardenal Herrera-CEU;Total Ciencias sociales, educación comercial y derecho;1.311
Cardenal Herrera-CEU;311 - Psicología;.
Cardenal Herrera-CEU;312 - Sociología, antropología y geografía social y cultural;.
Cardenal Herrera-CEU;313 - Ciencias políticas;..
Cardenal Herrera-CEU;314 - Economía;.
Cardenal Herrera-CEU;320 - Periodismo e información;.
Cardenal Herrera-CEU;321 - Periodismo;453
Cardenal Herrera-CEU;322 - Biblioteconomía, documentación y archivos;.
Cardenal Herrera-CEU;342 - Marketing y publicidad;336
Cardenal Herrera-CEU;343 - Finanzas, banca y seguros;.
Cardenal Herrera-CEU;344 - Contabilidad y gestión de impuestos;.
Cardenal Herrera-CEU;345 - Administración y gestión de empresas;272
Cardenal Herrera-CEU;347 - Otros estudios referidos al puesto de trabajo;.
Cardenal Herrera-CEU;380 - Derecho;206
Cardenal Herrera-CEU;Total Ciencias;..
Cardenal Herrera-CEU;420 - Ciencias de la vida;.
Cardenal Herrera-CEU;421 - Biología y Bioquímica;.
Cardenal Herrera-CEU;422 - Ciencias del medio ambiente;.
Cardenal Herrera-CEU;442 - Química;.
Cardenal Herrera-CEU;443 - Geología y meteorología;.
Cardenal Herrera-CEU;462 - Estadística;.
Cardenal Herrera-CEU;481 - Ciencias de la computación;..
Cardenal Herrera-CEU;Total Ingeniería, industria y construcción;253
Cardenal Herrera-CEU;520 - Ingeniería y profesiones afines;..
Cardenal Herrera-CEU;521 - Mecánica y metalurgia;.
Cardenal Herrera-CEU;522 - Electricidad y energía;.
Cardenal Herrera-CEU;523 - Electrónica y automática;.
Cardenal Herrera-CEU;524 - Procesos químicos;.
Cardenal Herrera-CEU;525 - Vehículos de motor, barcos y aeronaves;.
Cardenal Herrera-CEU;541 - Industria de la alimentación;.
Cardenal Herrera-CEU;580 - Arquitectura y construcción;.
Cardenal Herrera-CEU;581 - Arquitectura y urbanismo;173
Cardenal Herrera-CEU;582 - Construcción e ingeniería civil;.
Cardenal Herrera-CEU;Total Agricultura y veterinaria;504
Cardenal Herrera-CEU;621 - Producción agrícola y explotación ganadera;.
Cardenal Herrera-CEU;623 - Silvicultura;.
Cardenal Herrera-CEU;641 - Veterinaria;504
Cardenal Herrera-CEU;Total Salud y servicios sociales;2.069
Cardenal Herrera-CEU;720 - Salud;.
Cardenal Herrera-CEU;721 - Medicina;279
Cardenal Herrera-CEU;723 - Enfermería y atención a enfermos;816
Cardenal Herrera-CEU;724 - Estudios dentales;299
Cardenal Herrera-CEU;725 - Tecnología de diagnóstico y tratamiento médico;.
Cardenal Herrera-CEU;726 - Terapia y rehabilitación;427
Cardenal Herrera-CEU;727 - Farmacia;248
Cardenal Herrera-CEU;762 - Trabajo social y orientación;.
Cardenal Herrera-CEU;Total Servicios;.
Cardenal Herrera-CEU;811 - Hostelería;.
Cardenal Herrera-CEU;812 - Viajes, turismo y ocio;.
Cardenal Herrera-CEU;813 - Deportes;.
Cardenal Herrera-CEU;840 - Servicios de transporte;.
Católica de Valencia San Vicente Mártir;Total Ámbito;9.543
Católica de Valencia San Vicente Mártir;Total Educación;3.644
Católica de Valencia San Vicente Mártir;140 - Formación de personal docente y ciencias de la educación;644
Católica de Valencia San Vicente Mártir;142 - Ciencias de la educación;..
Católica de Valencia San Vicente Mártir;143 - Formación de docentes de enseñanza infantil;1.186
