Universidad;Ámbito de estudio ISCED 1999;Total
Alicante;343 - Finanzas, banca y seguros;..
Alicante;344 - Contabilidad y gestión de impuestos;..
Alicante;345 - Administración y gestión de empresas;4.931
Alicante;346 - Secretariado y trabajo administrativo;..
Alicante;347 - Otros estudios referidos al puesto de trabajo;..
Alicante;380 - Derecho;2.655
Alicante;4 - Ciencias;2.919
Alicante;421 - Biología y Bioquímica;745
Alicante;422 - Ciencias del medio ambiente;..
Alicante;440 - Ciencias Físicas, químicas, geológicas;..
Alicante;441 - Física;..
Alicante;442 - Química;335
Alicante;443 - Geología y meteorología;145
Alicante;461 - Matemáticas;243
Alicante;462 - Estadística;..
Alicante;481 - Ciencias de la computación;1.451
Alicante;482 - Informática en el nivel de usuario;..
Alicante;5 - Ingeniería, industria y construcción;4.417
Alicante;520 - Ingeniería y profesiones afines;..
Alicante;521 - Mecánica y metalurgia;..
Alicante;522 - Electricidad y energía;..
Alicante;523 - Electrónica y automática;244
Alicante;524 - Procesos químicos;273
Alicante;525 - Vehículos de motor, barcos y aeronaves;..
Alicante;540 - Industria manufacturera y producción;..
Alicante;541 - Industria de la alimentación;..
Alicante;542 - Industria textil, confección, del calzado y piel;..
Alicante;543 - Industrias de otros materiales (madera, papel, plástico, vidrio);..
Alicante;544 - Minería y extracción;..
Alicante;581 - Arquitectura y urbanismo;2.245
Alicante;582 - Construcción e ingeniería civil;1.655
Alicante;6 - Agricultura y veterinaria;..
Alicante;620 - Agricultura, ganadería y pesca;..
Alicante;621 - Producción agrícola y explotación ganadera;..
Alicante;622 - Horticultura;..
Alicante;623 - Silvicultura;..
Alicante;641 - Veterinaria;..
Alicante;7 - Salud y servicios sociales;2.028
Alicante;721 - Medicina;..
Alicante;723 - Enfermería y atención a enfermos;624
Alicante;724 - Estudios dentales;..
Alicante;725 - Tecnología de diagnóstico y tratamiento médico;354
Alicante;726 - Terapia y rehabilitación;330
Alicante;727 - Farmacia;..
Alicante;762 - Trabajo social y orientación;720
Alicante;8 - Servicios;1.343
Alicante;812 - Viajes, turismo y ocio;988
Alicante;813 - Deportes;300
Alicante;840 - Servicios de transporte;..
Alicante;851 - Control y tecnología medioambiental;..
