Comunidades Autónomas;Nacionalidad (regiones);Sexo;Total
Castilla - La Mancha;Resto de África;Mujeres;3
Castilla - La Mancha;Resto de África;Hombres;14
Castilla - La Mancha;Asia y Oceanía;Ambos Sexos;30
Castilla - La Mancha;Asia y Oceanía;Mujeres;19
Castilla - La Mancha;Asia y Oceanía;Hombres;11
Castilla y León;TOTAL;Ambos Sexos;77.460
Castilla y León;TOTAL;Mujeres;44.049
Castilla y León;TOTAL;Hombres;33.411
Castilla y León;España;Ambos Sexos;75.836
Castilla y León;España;Mujeres;43.044
Castilla y León;España;Hombres;32.792
Castilla y León;Unión Europea (27);Ambos Sexos;672
Castilla y León;Unión Europea (27);Mujeres;457
Castilla y León;Unión Europea (27);Hombres;215
Castilla y León;Resto de Europa;Ambos Sexos;55
Castilla y León;Resto de Europa;Mujeres;35
Castilla y León;Resto de Europa;Hombres;20
Castilla y León;América del Norte;Ambos Sexos;51
Castilla y León;América del Norte;Mujeres;33
Castilla y León;América del Norte;Hombres;18
Castilla y León;América Central;Ambos Sexos;82
Castilla y León;América Central;Mujeres;49
Castilla y León;América Central;Hombres;33
Castilla y León;América del Sur;Ambos Sexos;379
Castilla y León;América del Sur;Mujeres;224
Castilla y León;América del Sur;Hombres;155
Castilla y León;Norte de África;Ambos Sexos;96
Castilla y León;Norte de África;Mujeres;49
Castilla y León;Norte de África;Hombres;47
Castilla y León;Resto de África;Ambos Sexos;85
Castilla y León;Resto de África;Mujeres;31
Castilla y León;Resto de África;Hombres;54
Castilla y León;Asia y Oceanía;Ambos Sexos;204
Castilla y León;Asia y Oceanía;Mujeres;127
Castilla y León;Asia y Oceanía;Hombres;77
Cataluña;TOTAL;Ambos Sexos;180.739
Cataluña;TOTAL;Mujeres;97.302
Cataluña;TOTAL;Hombres;83.437
Cataluña;España;Ambos Sexos;172.642
Cataluña;España;Mujeres;92.446
Cataluña;España;Hombres;80.196
Cataluña;Unión Europea (27);Ambos Sexos;2.799
Cataluña;Unión Europea (27);Mujeres;1.757
Cataluña;Unión Europea (27);Hombres;1.042
Cataluña;Resto de Europa;Ambos Sexos;1.398
Cataluña;Resto de Europa;Mujeres;810
Cataluña;Resto de Europa;Hombres;588
Cataluña;América del Norte;Ambos Sexos;236
Cataluña;América del Norte;Mujeres;130
Cataluña;América del Norte;Hombres;106
Cataluña;América Central;Ambos Sexos;213
Cataluña;América Central;Mujeres;147
Cataluña;América Central;Hombres;66
Cataluña;América del Sur;Ambos Sexos;2.444
Cataluña;América del Sur;Mujeres;1.478
Cataluña;América del Sur;Hombres;966
Cataluña;Norte de África;Ambos Sexos;510
Cataluña;Norte de África;Mujeres;272
Cataluña;Norte de África;Hombres;238
Cataluña;Resto de África;Ambos Sexos;90
Cataluña;Resto de África;Mujeres;51
Cataluña;Resto de África;Hombres;39
Cataluña;Asia y Oceanía;Ambos Sexos;407
Cataluña;Asia y Oceanía;Mujeres;211
Cataluña;Asia y Oceanía;Hombres;196
Comunitat Valenciana;TOTAL;Ambos Sexos;144.972
Comunitat Valenciana;TOTAL;Mujeres;76.048
Comunitat Valenciana;TOTAL;Hombres;68.924
Comunitat Valenciana;España;Ambos Sexos;137.749
Comunitat Valenciana;España;Mujeres;71.889
Comunitat Valenciana;España;Hombres;65.860
Comunitat Valenciana;Unión Europea (27);Ambos Sexos;3.400
Comunitat Valenciana;Unión Europea (27);Mujeres;1.984
Comunitat Valenciana;Unión Europea (27);Hombres;1.416
Comunitat Valenciana;Resto de Europa;Ambos Sexos;647
Comunitat Valenciana;Resto de Europa;Mujeres;417
Comunitat Valenciana;Resto de Europa;Hombres;230
Comunitat Valenciana;América del Norte;Ambos Sexos;255
Comunitat Valenciana;América del Norte;Mujeres;126
Comunitat Valenciana;América del Norte;Hombres;129
Comunitat Valenciana;América Central;Ambos Sexos;151
Comunitat Valenciana;América Central;Mujeres;94
Comunitat Valenciana;América Central;Hombres;57
Comunitat Valenciana;América del Sur;Ambos Sexos;1.634
Comunitat Valenciana;América del Sur;Mujeres;983
Comunitat Valenciana;América del Sur;Hombres;651
Comunitat Valenciana;Norte de África;Ambos Sexos;624
Comunitat Valenciana;Norte de África;Mujeres;303
Comunitat Valenciana;Norte de África;Hombres;321
Comunitat Valenciana;Resto de África;Ambos Sexos;131
Comunitat Valenciana;Resto de África;Mujeres;69
Comunitat Valenciana;Resto de África;Hombres;62
Comunitat Valenciana;Asia y Oceanía;Ambos Sexos;381
Comunitat Valenciana;Asia y Oceanía;Mujeres;183
Comunitat Valenciana;Asia y Oceanía;Hombres;198
Extremadura;TOTAL;Ambos Sexos;22.663
Extremadura;TOTAL;Mujeres;12.103
Extremadura;TOTAL;Hombres;10.560
Extremadura;España;Ambos Sexos;22.428
Extremadura;España;Mujeres;11.978
Extremadura;España;Hombres;10.450
Extremadura;Unión Europea (27);Ambos Sexos;118
Extremadura;Unión Europea (27);Mujeres;72
Extremadura;Unión Europea (27);Hombres;46
Extremadura;Resto de Europa;Ambos Sexos;11
Extremadura;Resto de Europa;Mujeres;4
Extremadura;Resto de Europa;Hombres;7
Extremadura;América del Norte;Ambos Sexos;7
Extremadura;América del Norte;Mujeres;4
Extremadura;América del Norte;Hombres;3
Extremadura;América Central;Ambos Sexos;12
Extremadura;América Central;Mujeres;3
Extremadura;América Central;Hombres;9
Extremadura;América del Sur;Ambos Sexos;61
Extremadura;América del Sur;Mujeres;33
Extremadura;América del Sur;Hombres;28
Extremadura;Norte de África;Ambos Sexos;23
Extremadura;Norte de África;Mujeres;9
Extremadura;Norte de África;Hombres;14
Extremadura;Resto de África;Ambos Sexos;2
Extremadura;Resto de África;Mujeres;..
Extremadura;Resto de África;Hombres;2
Extremadura;Asia y Oceanía;Ambos Sexos;1
Extremadura;Asia y Oceanía;Mujeres;..
Extremadura;Asia y Oceanía;Hombres;1
Galicia;TOTAL;Ambos Sexos;64.988
Galicia;TOTAL;Mujeres;36.601
Galicia;TOTAL;Hombres;28.387
Galicia;España;Ambos Sexos;64.012
Galicia;España;Mujeres;35.966
Galicia;España;Hombres;28.046
Galicia;Unión Europea (27);Ambos Sexos;449
Galicia;Unión Europea (27);Mujeres;308
Galicia;Unión Europea (27);Hombres;141
Galicia;Resto de Europa;Ambos Sexos;81
Galicia;Resto de Europa;Mujeres;48
Galicia;Resto de Europa;Hombres;33
Galicia;América del Norte;Ambos Sexos;20
Galicia;América del Norte;Mujeres;9
Galicia;América del Norte;Hombres;11
Galicia;América Central;Ambos Sexos;39
Galicia;América Central;Mujeres;25
Galicia;América Central;Hombres;14
Galicia;América del Sur;Ambos Sexos;313
Galicia;América del Sur;Mujeres;205
Galicia;América del Sur;Hombres;108
Galicia;Norte de África;Ambos Sexos;24
Galicia;Norte de África;Mujeres;14
Galicia;Norte de África;Hombres;10
Galicia;Resto de África;Ambos Sexos;19
Galicia;Resto de África;Mujeres;14
Galicia;Resto de África;Hombres;5
Galicia;Asia y Oceanía;Ambos Sexos;31
Galicia;Asia y Oceanía;Mujeres;12
Galicia;Asia y Oceanía;Hombres;19
Madrid (Comunidad de);TOTAL;Ambos Sexos;244.742
Madrid (Comunidad de);TOTAL;Mujeres;127.961
Madrid (Comunidad de);TOTAL;Hombres;116.781
Madrid (Comunidad de);España;Ambos Sexos;234.155
Madrid (Comunidad de);España;Mujeres;121.980
Madrid (Comunidad de);España;Hombres;112.175
Madrid (Comunidad de);Unión Europea (27);Ambos Sexos;4.748
Madrid (Comunidad de);Unión Europea (27);Mujeres;2.663
Madrid (Comunidad de);Unión Europea (27);Hombres;2.085
Madrid (Comunidad de);Resto de Europa;Ambos Sexos;483
Madrid (Comunidad de);Resto de Europa;Mujeres;322
Madrid (Comunidad de);Resto de Europa;Hombres;161
Madrid (Comunidad de);América del Norte;Ambos Sexos;375
Madrid (Comunidad de);América del Norte;Mujeres;165
Madrid (Comunidad de);América del Norte;Hombres;210
Madrid (Comunidad de);América Central;Ambos Sexos;308
Madrid (Comunidad de);América Central;Mujeres;192
Madrid (Comunidad de);América Central;Hombres;116
Madrid (Comunidad de);América del Sur;Ambos Sexos;2.971
Madrid (Comunidad de);América del Sur;Mujeres;1.724
Madrid (Comunidad de);América del Sur;Hombres;1.247
Madrid (Comunidad de);Norte de África;Ambos Sexos;449
Madrid (Comunidad de);Norte de África;Mujeres;231
Madrid (Comunidad de);Norte de África;Hombres;218
Madrid (Comunidad de);Resto de África;Ambos Sexos;283
Madrid (Comunidad de);Resto de África;Mujeres;131
Madrid (Comunidad de);Resto de África;Hombres;152
Madrid (Comunidad de);Asia y Oceanía;Ambos Sexos;970
Madrid (Comunidad de);Asia y Oceanía;Mujeres;553
Madrid (Comunidad de);Asia y Oceanía;Hombres;417
Murcia (Región de);TOTAL;Ambos Sexos;40.889
Murcia (Región de);TOTAL;Mujeres;22.972
Murcia (Región de);TOTAL;Hombres;17.917
Murcia (Región de);España;Ambos Sexos;39.957
Murcia (Región de);España;Mujeres;22.340
Murcia (Región de);España;Hombres;17.617
Murcia (Región de);Unión Europea (27);Ambos Sexos;267
Murcia (Región de);Unión Europea (27);Mujeres;188
Murcia (Región de);Unión Europea (27);Hombres;79
Murcia (Región de);Resto de Europa;Ambos Sexos;125
Murcia (Región de);Resto de Europa;Mujeres;102
Murcia (Región de);Resto de Europa;Hombres;23
Murcia (Región de);América del Norte;Ambos Sexos;12
Murcia (Región de);América del Norte;Mujeres;7
Murcia (Región de);América del Norte;Hombres;5
Murcia (Región de);América Central;Ambos Sexos;29
Murcia (Región de);América Central;Mujeres;20
Murcia (Región de);América Central;Hombres;9
Murcia (Región de);América del Sur;Ambos Sexos;381
Murcia (Región de);América del Sur;Mujeres;244
Murcia (Región de);América del Sur;Hombres;137
Murcia (Región de);Norte de África;Ambos Sexos;80
Murcia (Región de);Norte de África;Mujeres;52
Murcia (Región de);Norte de África;Hombres;28
Murcia (Región de);Resto de África;Ambos Sexos;23
Murcia (Región de);Resto de África;Mujeres;11
Murcia (Región de);Resto de África;Hombres;12
Murcia (Región de);Asia y Oceanía;Ambos Sexos;15
Murcia (Región de);Asia y Oceanía;Mujeres;8
Murcia (Región de);Asia y Oceanía;Hombres;7
Navarra (Comunidad Foral de);TOTAL;Ambos Sexos;15.880
Navarra (Comunidad Foral de);TOTAL;Mujeres;8.431
Navarra (Comunidad Foral de);TOTAL;Hombres;7.449
Navarra (Comunidad Foral de);España;Ambos Sexos;15.396
Navarra (Comunidad Foral de);España;Mujeres;8.187
Navarra (Comunidad Foral de);España;Hombres;7.209
Navarra (Comunidad Foral de);Unión Europea (27);Ambos Sexos;116
Navarra (Comunidad Foral de);Unión Europea (27);Mujeres;63
Navarra (Comunidad Foral de);Unión Europea (27);Hombres;53
Navarra (Comunidad Foral de);Resto de Europa;Ambos Sexos;34
Navarra (Comunidad Foral de);Resto de Europa;Mujeres;20
Navarra (Comunidad Foral de);Resto de Europa;Hombres;14
Navarra (Comunidad Foral de);América del Norte;Ambos Sexos;60
Navarra (Comunidad Foral de);América del Norte;Mujeres;23
Navarra (Comunidad Foral de);América del Norte;Hombres;37
Navarra (Comunidad Foral de);América Central;Ambos Sexos;79
Navarra (Comunidad Foral de);América Central;Mujeres;49
Navarra (Comunidad Foral de);América Central;Hombres;30
Navarra (Comunidad Foral de);América del Sur;Ambos Sexos;171
Navarra (Comunidad Foral de);América del Sur;Mujeres;75
Navarra (Comunidad Foral de);América del Sur;Hombres;96
Navarra (Comunidad Foral de);Norte de África;Ambos Sexos;6
Navarra (Comunidad Foral de);Norte de África;Mujeres;4
Navarra (Comunidad Foral de);Norte de África;Hombres;2
Navarra (Comunidad Foral de);Resto de África;Ambos Sexos;5
Navarra (Comunidad Foral de);Resto de África;Mujeres;4
Navarra (Comunidad Foral de);Resto de África;Hombres;1
Navarra (Comunidad Foral de);Asia y Oceanía;Ambos Sexos;13
Navarra (Comunidad Foral de);Asia y Oceanía;Mujeres;6
Navarra (Comunidad Foral de);Asia y Oceanía;Hombres;7
País Vasco;TOTAL;Ambos Sexos;52.041
País Vasco;TOTAL;Mujeres;28.379
País Vasco;TOTAL;Hombres;23.662
País Vasco;España;Ambos Sexos;51.248
País Vasco;España;Mujeres;27.894
País Vasco;España;Hombres;23.354
País Vasco;Unión Europea (27);Ambos Sexos;232
País Vasco;Unión Europea (27);Mujeres;162
País Vasco;Unión Europea (27);Hombres;70
País Vasco;Resto de Europa;Ambos Sexos;51
País Vasco;Resto de Europa;Mujeres;35
País Vasco;Resto de Europa;Hombres;16
País Vasco;América del Norte;Ambos Sexos;16
País Vasco;América del Norte;Mujeres;10
País Vasco;América del Norte;Hombres;6
País Vasco;América Central;Ambos Sexos;22
País Vasco;América Central;Mujeres;15
País Vasco;América Central;Hombres;7
País Vasco;América del Sur;Ambos Sexos;309
País Vasco;América del Sur;Mujeres;194
País Vasco;América del Sur;Hombres;115
País Vasco;Norte de África;Ambos Sexos;89
País Vasco;Norte de África;Mujeres;36
País Vasco;Norte de África;Hombres;53
País Vasco;Resto de África;Ambos Sexos;48
País Vasco;Resto de África;Mujeres;18
País Vasco;Resto de África;Hombres;30
País Vasco;Asia y Oceanía;Ambos Sexos;26
País Vasco;Asia y Oceanía;Mujeres;15
País Vasco;Asia y Oceanía;Hombres;11
Rioja (La);TOTAL;Ambos Sexos;5.487
Rioja (La);TOTAL;Mujeres;2.944
Rioja (La);TOTAL;Hombres;2.543
Rioja (La);España;Ambos Sexos;5.344
Rioja (La);España;Mujeres;2.837
Rioja (La);España;Hombres;2.507
Rioja (La);Unión Europea (27);Ambos Sexos;42
