Sexo;Universidad;Ámbito de estudio ISCED 1999;Total
Ambos Sexos;Total Universidades Públicas Presenciales;621 - Producción agrícola y explotación ganadera;9.932
Ambos Sexos;Total Universidades Públicas Presenciales;622 - Horticultura;547
Ambos Sexos;Total Universidades Públicas Presenciales;623 - Silvicultura;3.772
Ambos Sexos;Total Universidades Públicas Presenciales;641 - Veterinaria;7.376
Ambos Sexos;Total Universidades Públicas Presenciales;Total Salud y servicios sociales;140.449
Ambos Sexos;Total Universidades Públicas Presenciales;720 - Salud;1.267
Ambos Sexos;Total Universidades Públicas Presenciales;721 - Medicina;36.536
Ambos Sexos;Total Universidades Públicas Presenciales;723 - Enfermería y atención a enfermos;37.030
Ambos Sexos;Total Universidades Públicas Presenciales;724 - Estudios dentales;3.665
Ambos Sexos;Total Universidades Públicas Presenciales;725 - Tecnología de diagnóstico y tratamiento médico;4.981
Ambos Sexos;Total Universidades Públicas Presenciales;726 - Terapia y rehabilitación;25.286
Ambos Sexos;Total Universidades Públicas Presenciales;727 - Farmacia;15.791
Ambos Sexos;Total Universidades Públicas Presenciales;762 - Trabajo social y orientación;15.893
Ambos Sexos;Total Universidades Públicas Presenciales;Total Servicios;36.717
Ambos Sexos;Total Universidades Públicas Presenciales;811 - Hostelería;..
Ambos Sexos;Total Universidades Públicas Presenciales;812 - Viajes, turismo y ocio;20.830
Ambos Sexos;Total Universidades Públicas Presenciales;813 - Deportes;13.084
Ambos Sexos;Total Universidades Públicas Presenciales;840 - Servicios de transporte;701
Ambos Sexos;Total Universidades Públicas Presenciales;851 - Control y tecnología medioambiental;886
Ambos Sexos;Total Universidades Públicas Presenciales;861 - Protección de la propiedad y las personas;331
Ambos Sexos;Total Universidades Públicas Presenciales;862 - Salud y seguridad en el trabajo;680
Ambos Sexos;Total Universidades Públicas Presenciales;863 - Enseñanza militar;142
Ambos Sexos;A Coruña;Total Ámbito;16.798
Ambos Sexos;A Coruña;Total Educación;1.536
Ambos Sexos;A Coruña;140 - Formación de personal docente y ciencias de la educación;350
Ambos Sexos;A Coruña;142 - Ciencias de la educación;..
Ambos Sexos;A Coruña;143 - Formación de docentes de enseñanza infantil;558
Ambos Sexos;A Coruña;144 - Formación de docentes de enseñanza primaria;570
Ambos Sexos;A Coruña;145 - Formación de docentes de enseñanza de temas especiales;.
Ambos Sexos;A Coruña;146 - Formación de docentes de formación profesional;.
Ambos Sexos;A Coruña;Total Artes y humanidades;773
Ambos Sexos;A Coruña;211 - Bellas artes;.
Ambos Sexos;A Coruña;212 - Música y artes del espectáculo;.
Ambos Sexos;A Coruña;213 - Técnicas audiovisuales y medios de comunicación;281
Ambos Sexos;A Coruña;214 - Diseño;.
Ambos Sexos;A Coruña;220 - Humanidades;..
Ambos Sexos;A Coruña;222 - Lenguas extranjeras;310
Ambos Sexos;A Coruña;223 - Lenguas y dialectos españoles;130
Ambos Sexos;A Coruña;225 - Historia y arqueología;.
Ambos Sexos;A Coruña;226 - Filosofía y ética;.
Ambos Sexos;A Coruña;Total Ciencias sociales, educación comercial y derecho;4.230
Ambos Sexos;A Coruña;311 - Psicología;.
Ambos Sexos;A Coruña;312 - Sociología, antropología y geografía social y cultural;296
Ambos Sexos;A Coruña;313 - Ciencias políticas;.
Ambos Sexos;A Coruña;314 - Economía;442
Ambos Sexos;A Coruña;321 - Periodismo;.
Ambos Sexos;A Coruña;322 - Biblioteconomía, documentación y archivos;..
Ambos Sexos;A Coruña;342 - Marketing y publicidad;.
Ambos Sexos;A Coruña;343 - Finanzas, banca y seguros;.
Ambos Sexos;A Coruña;344 - Contabilidad y gestión de impuestos;.
Ambos Sexos;A Coruña;345 - Administración y gestión de empresas;2.573
Ambos Sexos;A Coruña;380 - Derecho;881
Ambos Sexos;A Coruña;Total Ciencias;2.163
Ambos Sexos;A Coruña;421 - Biología y Bioquímica;411
Ambos Sexos;A Coruña;422 - Ciencias del medio ambiente;.
Ambos Sexos;A Coruña;440 - Ciencias Físicas, químicas, geológicas;.
Ambos Sexos;A Coruña;441 - Física;.
