Tipo de universidad;Comunidad Autónoma;Nacionalidad (regiones);Sexo;Total
Total Universidades;Estado;América Latina y Caribe;Hombres;454
Total Universidades;Estado;Norte de África;Ambos sexos;179
Total Universidades;Estado;Norte de África;Mujeres;108
Total Universidades;Estado;Norte de África;Hombres;71
Total Universidades;Estado;Resto de África;Ambos sexos;221
Total Universidades;Estado;Resto de África;Mujeres;53
Total Universidades;Estado;Resto de África;Hombres;168
Total Universidades;Estado;Asia y Oceanía;Ambos sexos;70
Total Universidades;Estado;Asia y Oceanía;Mujeres;41
Total Universidades;Estado;Asia y Oceanía;Hombres;29
Total Universidades;Extremadura;Total;Ambos sexos;19.536
Total Universidades;Extremadura;Total;Mujeres;10.583
Total Universidades;Extremadura;Total;Hombres;8.953
Total Universidades;Extremadura;España;Ambos sexos;19.364
Total Universidades;Extremadura;España;Mujeres;10.474
Total Universidades;Extremadura;España;Hombres;8.890
Total Universidades;Extremadura;Unión Europea (28);Ambos sexos;90
Total Universidades;Extremadura;Unión Europea (28);Mujeres;63
Total Universidades;Extremadura;Unión Europea (28);Hombres;27
Total Universidades;Extremadura;Resto de Europa;Ambos sexos;11
Total Universidades;Extremadura;Resto de Europa;Mujeres;7
Total Universidades;Extremadura;Resto de Europa;Hombres;4
Total Universidades;Extremadura;EE.UU. y Canadá;Ambos sexos;2
Total Universidades;Extremadura;EE.UU. y Canadá;Mujeres;1
Total Universidades;Extremadura;EE.UU. y Canadá;Hombres;1
Total Universidades;Extremadura;América Latina y Caribe;Ambos sexos;40
Total Universidades;Extremadura;América Latina y Caribe;Mujeres;22
Total Universidades;Extremadura;América Latina y Caribe;Hombres;18
Total Universidades;Extremadura;Norte de África;Ambos sexos;18
Total Universidades;Extremadura;Norte de África;Mujeres;13
Total Universidades;Extremadura;Norte de África;Hombres;5
Total Universidades;Extremadura;Resto de África;Ambos sexos;8
Total Universidades;Extremadura;Resto de África;Mujeres;2
Total Universidades;Extremadura;Resto de África;Hombres;6
Total Universidades;Extremadura;Asia y Oceanía;Ambos sexos;3
Total Universidades;Extremadura;Asia y Oceanía;Mujeres;1
Total Universidades;Extremadura;Asia y Oceanía;Hombres;2
Total Universidades;Galicia;Total;Ambos sexos;55.322
Total Universidades;Galicia;Total;Mujeres;30.474
Total Universidades;Galicia;Total;Hombres;24.848
Total Universidades;Galicia;España;Ambos sexos;54.577
Total Universidades;Galicia;España;Mujeres;29.973
Total Universidades;Galicia;España;Hombres;24.604
Total Universidades;Galicia;Unión Europea (28);Ambos sexos;398
Total Universidades;Galicia;Unión Europea (28);Mujeres;283
Total Universidades;Galicia;Unión Europea (28);Hombres;115
Total Universidades;Galicia;Resto de Europa;Ambos sexos;32
Total Universidades;Galicia;Resto de Europa;Mujeres;22
Total Universidades;Galicia;Resto de Europa;Hombres;10
Total Universidades;Galicia;EE.UU. y Canadá;Ambos sexos;6
Total Universidades;Galicia;EE.UU. y Canadá;Mujeres;5
Total Universidades;Galicia;EE.UU. y Canadá;Hombres;1
Total Universidades;Galicia;América Latina y Caribe;Ambos sexos;226
Total Universidades;Galicia;América Latina y Caribe;Mujeres;143
Total Universidades;Galicia;América Latina y Caribe;Hombres;83
Total Universidades;Galicia;Norte de África;Ambos sexos;30
Total Universidades;Galicia;Norte de África;Mujeres;19
Total Universidades;Galicia;Norte de África;Hombres;11
Total Universidades;Galicia;Resto de África;Ambos sexos;16
Total Universidades;Galicia;Resto de África;Mujeres;11
Total Universidades;Galicia;Resto de África;Hombres;5
Total Universidades;Galicia;Asia y Oceanía;Ambos sexos;37
Total Universidades;Galicia;Asia y Oceanía;Mujeres;18
Total Universidades;Galicia;Asia y Oceanía;Hombres;19
Total Universidades;Madrid (Comunidad de);Total;Ambos sexos;233.649
Total Universidades;Madrid (Comunidad de);Total;Mujeres;123.935
Total Universidades;Madrid (Comunidad de);Total;Hombres;109.714
Total Universidades;Madrid (Comunidad de);España;Ambos sexos;220.087
Total Universidades;Madrid (Comunidad de);España;Mujeres;116.308
Total Universidades;Madrid (Comunidad de);España;Hombres;103.779
Total Universidades;Madrid (Comunidad de);Unión Europea (28);Ambos sexos;6.805
Total Universidades;Madrid (Comunidad de);Unión Europea (28);Mujeres;3.730
Total Universidades;Madrid (Comunidad de);Unión Europea (28);Hombres;3.075
Total Universidades;Madrid (Comunidad de);Resto de Europa;Ambos sexos;700
