Nivel y Ciclo;Rama de la enseñanza;Tipo de universidad;Tipo de centro;Sexo;Total
Matrícula de Grado;Artes y Humanidades;Universidades públicas;Centros propios;Mujeres;33.485
Matrícula de Grado;Artes y Humanidades;Universidades públicas;Centros propios;Hombres;22.146
Matrícula de Grado;Artes y Humanidades;Universidades públicas;Centros adscritos;Ambos Sexos;694
Matrícula de Grado;Artes y Humanidades;Universidades públicas;Centros adscritos;Mujeres;455
Matrícula de Grado;Artes y Humanidades;Universidades públicas;Centros adscritos;Hombres;239
Matrícula de Grado;Artes y Humanidades;Universidades privadas;Total Centros;Ambos Sexos;4.025
Matrícula de Grado;Artes y Humanidades;Universidades privadas;Total Centros;Mujeres;2.508
Matrícula de Grado;Artes y Humanidades;Universidades privadas;Total Centros;Hombres;1.517
Matrícula de Grado;Artes y Humanidades;Universidades privadas;Centros propios;Ambos Sexos;3.253
Matrícula de Grado;Artes y Humanidades;Universidades privadas;Centros propios;Mujeres;1.948
Matrícula de Grado;Artes y Humanidades;Universidades privadas;Centros propios;Hombres;1.305
Matrícula de Grado;Artes y Humanidades;Universidades privadas;Centros adscritos;Ambos Sexos;772
